Bus Number,14,,30бо,,57,,118,,500,,2383,,2736,,2737,,2746',
GEN 187,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 188,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 189,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 190,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 191,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 192,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 193,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 194,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 195,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 196,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 197,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 198,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 199,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 200,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 201,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 202,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 203,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 204,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 205,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 206,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 207,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 208,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 209,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 210,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 211,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 212,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 213,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 214,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 215,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 216,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 217,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 218,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 219,,,,,,,,,,,/,/,/,/,/,/,/,/
GEN 220,,,,,,,,,,,/,/,/,/,,,/,/
GEN 221,,,,,,,,,,,/,/,/,/,,,/,/
GEN 222,,,,,,,,,,,/,/,/,/,,,/,/
GEN 223,,,,,,,,,,,/,/,/,/,,,/,/
GEN 224,,,,,,,,,,,/,/,/,/,,,/,/
GEN 225,,,,,,,,,,,/,/,/,/,,,/,/
GEN 226,,,,,,,,,,,/,/,/,/,,,/,/
GEN 227,,,,,,,,,,,/,/,/,/,,,/,/
GEN 228,,,,,,,,,,,/,/,/,/,,,/,/
GEN 229,,,,,,,,,,,/,/,/,/,,,/,/
GEN 230,,,,,,,,,,,/,/,/,/,,,/,/
GEN 231,,,,,,,,,,,9.649706486,143.58,/,/,,,/,/
GEN 232,,,,,,,,,,,/,/,/,/,,,/,/
GEN 233,,,,,,,,,,,/,/,/,/,,,/,/
GEN 234,,,,,,,,,,,/,/,/,/,,,/,/
GEN 235,,,,,,,,,,,/,/,/,/,,,/,/
GEN 236,,,,,,,,,,,/,/,/,/,,,/,/
GEN 237,,,,,,,,,,,/,/,/,/,,,/,/
GEN 238,,,,,,,,,,,/,/,/,/,,,/,/
GEN 239,,,,,,,,,,,/,/,/,/,,,/,/
GEN 240,,,,,,,,,,,/,/,/,/,,,/,/
GEN 241,,,,,,,,,,,/,/,/,/,,,/,/
GEN 242,,,,,,,,,,,/,/,/,/,,,/,/
GEN 243,,,,,,,,,,,/,/,/,/,,,/,/
GEN 244,,,,,,,,,,,/,/,/,/,,,/,/
GEN 245,,,,,,,,,,,/,/,/,/,,,/,/
GEN 246,,,,,,,,,,,/,/,/,/,,,/,/
GEN 247,,,,,,,,,,,/,/,/,/,,,/,/
GEN 248,,,,,,,,,,,/,/,/,/,,,/,/
GEN 249,,,,,,,,,,,/,/,/,/,,,/,/
GEN 250,,,,,,,,,,,/,/,/,/,,,/,/
GEN 251,,,,,,,,,,,/,/,/,/,,,/,/
GEN 252,,,,,,,,,,,/,/,/,/,,,/,/
GEN 253,,,,,,,,,,,/,/,/,/,,,/,/
GEN 254,,,,,,,,,,,/,/,/,/,,,/,/
GEN 255,,,,,,,,,,,/,/,/,/,,,/,/
GEN 256,,,,,,,,,,,/,/,/,/,,,/,/
GEN 257,,,,,,,,,,,/,/,/,/,,,/,/
GEN 258,,,,,,,,,,,/,/,/,/,,,/,/
GEN 259,,,,,,,,,,,/,/,/,/,,,/,/
GEN 260,,,,,,,,,,,/,/,/,/,,,/,/
GEN 261,,,,,,,,,,,/,/,/,/,,,/,/
GEN 262,,,,,,,,,,,/,/,/,/,,,/,/
GEN 263,,,,,,,,,,,/,/,/,/,,,/,/
GEN 264,,,,,,,,,,,/,/,/,/,,,/,/
GEN 265,,,,,,,,,,,/,/,/,/,,,/,/
GEN 266,,,,,,,,,,,/,/,/,/,,,/,/
GEN 267,,,,,,,,,,,/,/,/,/,,,/,/
GEN 268,,,,,,,,,,,/,/,/,/,,,/,/
GEN 269,,,,,,,,,,,/,/,/,/,,,/,/
GEN 270,,,,,,,,,,,/,/,/,/,,,/,/
GEN 271,,,,,,,,,,,/,/,,,,,/,/
GEN 272,,,,,,,,,,,/,/,,,,,/,/
GEN 273,,,,,,,,,,,/,/,,,,,/,/
GEN 274,,,,,,,,,,,/,/,,,,,/,/
GEN 275,,,,,,,,,,,/,/,,,,,/,/
GEN 276,,,,,,,,,,,/,/,,,,,/,/
GEN 277,,,,,,,,,,,/,/,,,,,/,/
GEN 278,,,,,,,,,,,/,/,,,,,/,/
GEN 279,,,,,,,,,,,/,/,,,,,/,/
GEN 280,,,,,,,,,,,/,/,,,,,/,/
GEN 281,,,,,,,,,,,/,/,,,,,/,/
GEN 282,,,,,,,,,,,/,/,,,,,/,/
GEN 283,,,,,,,,,,,/,/,,,,,/,/
GEN 284,,,,,,,,,,,/,/,,,,,/,/
GEN 285,,,,,,,,,,,/,/,,,,,/,/
GEN 286,,,,,,,,,,,/,/,,,,,/,/
GEN 287,,,,,,,,,,,/,/,,,,,/,/
GEN 288,,,,,,,,,,,/,/,,,,,0,98.84
GEN 289,,,,,,,,,,,/,/,,,,,/,/
GEN 290,,,,,,,,,,,/,/,,,,,/,/
GEN 291,,,,,,,,,,,/,/,,,,,/,/
GEN 292,,,,,,,,,,,/,/,,,,,/,/
GEN 293,,,,,,,,,,,/,/,,,,,/,/
GEN 294,,,,,,,,,,,/,/,,,,,/,/
GEN 295,,,,,,,,,,,/,/,,,,,/,/
GEN 296,,,,,,,,,,,/,/,,,,,/,/
GEN 297,,,,,,,,,,,/,/,,,,,/,/
GEN 298,,,,,,,,,,,/,/,,,,,/,/
GEN 299,,,,,,,,,,,/,/,,,,,/,/
GEN 300,,,,,,,,,,,/,/,,,,,/,/
GEN 301,,,,,,,,,,,/,/,,,,,/,/
GEN 302,,,,,,,,,,,/,/,,,,,/,/
GEN 303,,,,,,,,,,,/,/,,,,,/,/
GEN 304,,,,,,,,,,,/,/,,,,,/,/
GEN 305,,,,,,,,,,,/,/,,,,,/,/
GEN 306,,,,,,,,,,,/,/,,,,,/,/
GEN 307,,,,,,,,,,,/,/,,,,,/,/
GEN 308,,,,,,,,,,,/,/,,,,,/,/
GEN 309,,,,,,,,,,,/,/,,,,,/,/
GEN 310,,,,,,,,,,,/,/,,,,,/,/
GEN 311,,,,,,,,,,,/,/,,,,,/,/
GEN 312,,,,,,,,,,,/,/,,,,,/,/
GEN 313,,,,,,,,,,,/,/,,,,,/,/
GEN 314,,,,,,,,,,,/,/,,,,,/,/
GEN 315,,,,,,,,,,,/,/,,,,,/,/
GEN 316,,,,,,,,,,,/,/,,,,,/,/
GEN 317,,,,,,,,,,,/,/,,,,,/,/
GEN 318,,,,,,,,,,,/,/,,,,,/,/
GEN 319,,,,,,,,,,,/,/,,,,,/,/
GEN 320,,,,,,,,,,,/,/,,,,,/,/
GEN 321,,,,,,,,,,,/,/,,,,,/,/
GEN 322,,,,,,,,,,,/,/,,,,,/,/
GEN 323,,,,,,,,,,,/,/,,,,,/,/
GEN 324,,,,,,,,,,,/,/,,,,,/,/
GEN 325,,,,,,,,,,,/,/,,,,,/,/
GEN 326,,,,,,,,,,,/,/,,,,,/,/
GEN 327,,,,,,,,,,,/,/,,,,,/,/
GEN 328,,,,,,,,,,,,,,,,,/,/
GEN 329,,,,,,,,,,,,,,,,,/,/
GEN 330,,,,,,,,,,,,,,,,,/,/
GEN 331,,,,,,,,,,,,,,,,,/,/
GEN 332,,,,,,,,,,,,,,,,,/,/
GEN 333,,,,,,,,,,,,,,,,,/,/
GEN 334,,,,,,,,,,,,,,,,,/,/
GEN 335,,,,,,,,,,,,,,,,,/,/
GEN 336,,,,,,,,,,,,,,,,,/,/
GEN 337,,,,,,,,,,,,,,,,,/,/
GEN 338,,,,,,,,,,,,,,,,,/,/
GEN 339,,,,,,,,,,,,,,,,,/,/
GEN 340,,,,,,,,,,,,,,,,,/,/
GEN 341,,,,,,,,,,,,,,,,,/,/
GEN 342,,,,,,,,,,,,,,,,,/,/
GEN 343,,,,,,,,,,,,,,,,,/,/
GEN 344,,,,,,,,,,,,,,,,,/,/
GEN 345,,,,,,,,,,,,,,,,,/,/
GEN 346,,,,,,,,,,,,,,,,,/,/
GEN 347,,,,,,,,,,,,,,,,,/,/
GEN 348,,,,,,,,,,,,,,,,,/,/
GEN 349,,,,,,,,,,,,,,,,,/,/
GEN 350,,,,,,,,,,,,,,,,,/,/
GEN 351,,,,,,,,,,,,,,,,,/,/
GEN 352,,,,,,,,,,,,,,,,,/,/
GEN 353,,,,,,,,,,,,,,,,,/,/
GEN 354,,,,,,,,,,,,,,,,,/,/
GEN 355,,,,,,,,,,,,,,,,,/,/
GEN 356,,,,,,,,,,,,,,,,,/,/
GEN 357,,,,,,,,,,,,,,,,,/,/
GEN 358,,,,,,,,,,,,,,,,,/,/
GEN 359,,,,,,,,,,,,,,,,,/,/
GEN 360,,,,,,,,,,,,,,,,,/,/
GEN 361,,,,,,,,,,,,,,,,,/,/
GEN 362,,,,,,,,,,,,,,,,,/,/
GEN 363,,,,,,,,,,,,,,,,,/,/
GEN 364,,,,,,,,,,,,,,,,,/,/
GEN 365,,,,,,,,,,,,,,,,,/,/
GEN 366,,,,,,,,,,,,,,,,,/,/
GEN 367,,,,,,,,,,,,,,,,,/,/
GEN 368,,,,,,,,,,,,,,,,,/,/
GEN 369,,,,,,,,,,,,,,,,,/,/
GEN 370,,,,,,,,,,,,,,,,,/,/
GEN 371,,,,,,,,,,,,,,,,,/,/
GEN 372,,,,,,,,,,,,,,,,,/,/
GEN 373,,,,,,,,,,,,,,,,,/,/
GEN 374,,,,,,,,,,,,,,,,,/,/
GEN 375,,,,,,,,,,,,,,,,,/,/
GEN 376,,,,,,,,,,,,,,,,,/,/
GEN 377,,,,,,,,,,,,,,,,,/,/
GEN 378,,,,,,,,,,,,,,,,,/,/
GEN 379,,,,,,,,,,,,,,,,,/,/
GEN 380,,,,,,,,,,,,,,,,,/,/
GEN 381,,,,,,,,,,,,,,,,,/,/
GEN 382,,,,,,,,,,,,,,,,,/,/
GEN 383,,,,,,,,,,,,,,,,,/,/
GEN 384,,,,,,,,,,,,,,,,,/,/
GEN 385,,,,,,,,,,,,,,,,,/,/
GEN 386,,,,,,,,,,,,,,,,,/,/
GEN 387,,,,,,,,,,,,,,,,,/,/
GEN 388,,,,,,,,,,,,,,,,,/,/
GEN 389,,,,,,,,,,,,,,,,,/,/
GEN 390,,,,,,,,,,,,,,,,,/,/
GEN 391,,,,,,,,,,,,,,,,,/,/
GEN 392,,,,,,,,,,,,,,,,,/,/
GEN 393,,,,,,,,,,,,,,,,,/,/
GEN 394,,,,,,,,,,,,,,,,,/,/
GEN 395,,,,,,,,,,,,,,,,,/,/
GEN 396,,,,,,,,,,,,,,,,,/,/
GEN 397,,,,,,,,,,,,,,,,,/,/
GEN 398,,,,,,,,,,,,,,,,,/,/
GEN 399,,,,,,,,,,,,,,,,,/,/
GEN 400,,,,,,,,,,,,,,,,,/,/
GEN 401,,,,,,,,,,,,,,,,,/,/
GEN 402,,,,,,,,,,,,,,,,,/,/
GEN 403,,,,,,,,,,,,,,,,,/,/
GEN 404,,,,,,,,,,,,,,,,,/,/
GEN 405,,,,,,,,,,,,,,,,,/,/
GEN 406,,,,,,,,,,,,,,,,,/,/
GEN 407,,,,,,,,,,,,,,,,,/,/
GEN 408,,,,,,,,,,,,,,,,,/,/
GEN 409,,,,,,,,,,,,,,,,,/,/
GEN 410,,,,,,,,,,,,,,,,,/,/
GEN 411,,,,,,,,,,,,,,,,,/,/
GEN 412,,,,,,,,,,,,,,,,,/,/
GEN 413,,,,,,,,,,,,,,,,,/,/
GEN 414,,,,,,,,,,,,,,,,,/,/
GEN 415,,,,,,,,,,,,,,,,,/,/
GEN 416,,,,,,,,,,,,,,,,,/,/
GEN 417,,,,,,,,,,,,,,,,,/,/
GEN 418,,,,,,,,,,,,,,,,,/,/
GEN 419,,,,,,,,,,,,,,,,,/,/
GEN 420,,,,,,,,,,,,,,,,,/,/
GEN 421,,,,,,,,,,,,,,,,,/,/
GEN 422,,,,,,,,,,,,,,,,,/,/
GEN 423,,,,,,,,,,,,,,,,,/,/
GEN 424,,,,,,,,,,,,,,,,,/,/
GEN 425,,,,,,,,,,,,,,,,,/,/
GEN 426,,,,,,,,,,,,,,,,,/,/
GEN 427,,,,,,,,,,,,,,,,,/,/
GEN 428,,,,,,,,,,,,,,,,,/,/
GEN 429,,,,,,,,,,,,,,,,,/,/
GEN 430,,,,,,,,,,,,,,,,,/,/
GEN 431,,,,,,,,,,,,,,,,,/,/
GEN 432,,,,,,,,,,,,,,,,,/,/
GEN 433,,,,,,,,,,,,,,,,,/,/
GEN 434,,,,,,,,,,,,,,,,,/,/
GEN 435,,,,,,,,,,,,,,,,,/,/
GEN 436,,,,,,,,,,,,,,,,,/,/
GEN 437,,,,,,,,,,,,,,,,,/,/
GEN 438,,,,,,,,,,,,,,,,,/,/
GEN 439,,,,,,,,,,,,,,,,,/,/
GEN 440,,,,,,,,,,,,,,,,,/,/
GEN 441,,,,,,,,,,,,,,,,,/,/
GEN 442,,,,,,,,,,,,,,,,,/,/
GEN 443,,,,,,,,,,,,,,,,,/,/
GEN 444,,,,,,,,,,,,,,,,,/,/
GEN 445,,,,,,,,,,,,,,,,,/,/
GEN 446,,,,,,,,,,,,,,,,,/,/
GEN 447,,,,,,,,,,,,,,,,,/,/
GEN 448,,,,,,,,,,,,,,,,,/,/
GEN 449,,,,,,,,,,,,,,,,,/,/
GEN 450,,,,,,,,,,,,,,,,,/,/
GEN 451,,,,,,,,,,,,,,,,,/,/
GEN 452,,,,,,,,,,,,,,,,,/,/
GEN 453,,,,,,,,,,,,,,,,,/,/
GEN 454,,,,,,,,,,,,,,,,,/,/
GEN 455,,,,,,,,,,,,,,,,,/,/
GEN 456,,,,,,,,,,,,,,,,,/,/
